Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Isaac Jones,24,SAC,PF,25,0,8.7,1.5,2.3,0.655,0,0.2,0.25,1.5,2.2,0.685,0.664,0.6,1,0.538,0.6,1,1.5,0.3,0.1,0.3,0.5,1,3.6
Moses Brown,25,DAL,C,11,0,6.1,1.5,2.4,0.654,0,0,,1.5,2.4,0.654,0.654,0.4,0.5,0.667,0.6,1.5,2.2,0.2,0.3,0.2,1,0.7,3.5
Jamal Cain,25,NOP,SF,21,0,12.3,1.2,3,0.406,0.5,1.7,0.278,0.8,1.3,0.571,0.484,0.6,0.9,0.667,0.8,1.5,2.3,0.5,0.4,0.3,0.5,1.1,3.5
Devin Carter,22,SAC,PG,17,0,9.5,1.1,3.6,0.311,0.5,1.8,0.258,0.6,1.8,0.367,0.377,0.8,1.1,0.722,0.4,2,2.4,1.2,0.3,0.2,0.5,0.8,3.5
DeAndre Jordan,36,DEN,C,42,2,11.6,1.6,2.4,0.66,0,0,,1.6,2.4,0.66,0.66,0.3,0.7,0.419,1.3,3.3,4.6,0.9,0.3,0.5,0.7,1.3,3.5
Dario Šarić,30,DEN,C,14,4,14.2,1.3,3.9,0.333,0.4,1.7,0.25,0.9,2.1,0.4,0.389,0.5,0.7,0.7,1,2.5,3.5,1.6,0.5,0.1,1,1.3,3.5
Landry Shamet,27,NYK,SG,25,0,11.3,1.4,3,0.461,0.6,1.8,0.341,0.8,1.3,0.625,0.559,0.1,0.3,0.429,0.2,0.7,0.9,0.6,0.4,0.1,0.4,0.8,3.5
Terrence Shannon Jr.,24,MIN,SG,18,0,9.3,1.4,3.2,0.456,0.2,0.9,0.235,1.2,2.2,0.55,0.491,0.4,0.5,0.778,0.3,0.8,1.1,1.1,0.3,0.1,0.4,0.5,3.5
TyTy Washington Jr.,23,PHX,PG,8,0,11.1,1.4,4.3,0.324,0.4,2,0.188,1,2.3,0.444,0.368,0.4,0.5,0.75,0.5,1,1.5,1.5,0.4,0,0.3,0.1,3.5
Jeff Dowtin,27,PHI,PG,25,0,11,1.4,3.4,0.395,0.2,1,0.24,1.1,2.4,0.459,0.43,0.5,0.7,0.706,0.2,1,1.2,1.5,0.3,0.2,0.2,0.6,3.4
Bruno Fernando,26,TOR,C,17,2,8.6,1.5,2.9,0.531,0,0,,1.5,2.9,0.531,0.531,0.4,0.5,0.75,1.2,1.8,3,1.1,0.2,0.5,0.8,1.6,3.4
Oso Ighodaro,22,PHX,PF,42,2,14.4,1.5,2.6,0.574,0,0,0,1.5,2.5,0.585,0.574,0.5,0.9,0.528,0.8,2.3,3.2,1,0.4,0.4,0.5,1.5,3.4
Doug McDermott,33,SAC,SF,31,3,8.4,1.2,2.7,0.424,1,2.3,0.431,0.2,0.4,0.385,0.606,0.1,0.2,0.6,0.1,0.5,0.5,0.1,0.1,0,0.2,0.9,3.4
Reed Sheppard,20,HOU,PG,41,0,11.5,1.3,4.1,0.31,0.7,2.5,0.275,0.6,1.6,0.364,0.393,0.2,0.2,0.9,0.4,1,1.4,1,0.6,0.3,0.6,0.9,3.4
Nicolas Batum,36,LAC,PF,54,1,17.1,1.1,2.9,0.383,0.9,2.4,0.378,0.2,0.5,0.407,0.539,0.2,0.3,0.786,0.6,2.2,2.8,1.2,0.6,0.4,0.4,1.5,3.3
Jalen Pickett,25,DEN,SG,26,0,11,1.3,3,0.436,0.6,1.6,0.39,0.7,1.4,0.486,0.538,0.1,0.1,1,0.2,1,1.2,1.8,0.3,0.1,0.4,0.5,3.3
Cam Reddish,25,LAL,SF,31,8,18.1,1.2,2.8,0.43,0.4,1.5,0.289,0.8,1.3,0.585,0.506,0.5,0.8,0.615,0.5,1.5,2,0.7,1,0.3,0.4,1.4,3.3
Wendell Moore Jr.,23,CHA,SG,22,1,11.5,1.2,2.9,0.422,0.2,0.7,0.267,1,2.2,0.469,0.453,0.6,0.7,0.867,0.6,1.5,2.1,1,0.5,0.1,0.5,0.8,3.2
Elijah Harkless,24,UTA,SG,10,0,13.8,1.1,3.5,0.314,0.7,2.5,0.28,0.4,1,0.4,0.414,0.3,0.6,0.5,0.9,1.2,2.1,0.8,1,0.1,0.3,1.8,3.2
