Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Adam Flagler,25,OKC,SG,22,0,4.2,0.5,2.5,0.218,0.3,2,0.159,0.2,0.5,0.455,0.282,0,0,,0.1,0.2,0.4,0,0.2,0.1,0,0.4,1.4
Bronny James,20,LAL,SG,17,0,4.2,0.4,1.6,0.25,0.2,0.8,0.231,0.2,0.9,0.267,0.304,0.4,0.5,0.667,0.1,0.4,0.4,0.5,0.2,0.1,0.3,0.4,1.4
Alex Len,31,LAL,C,39,3,7.5,0.6,1.2,0.522,0,0.2,0.167,0.6,1,0.575,0.533,0.2,0.3,0.538,0.7,1.2,1.9,0.8,0.2,0.5,0.3,1,1.4
Sidy Cissoko,20,SAS,SF,17,0,3.2,0.5,1.1,0.5,0.2,0.4,0.429,0.4,0.6,0.545,0.583,0.1,0.4,0.167,0.2,0.4,0.6,0.4,0.1,0,0.1,0.4,1.3
Jack McVeigh,28,HOU,PF,6,0,3.5,0.5,1.8,0.273,0.3,1.3,0.25,0.2,0.5,0.333,0.364,0,0,,0.2,0.5,0.7,0.2,0,0.2,0.2,0.2,1.3
JD Davison,22,BOS,PG,5,0,4.8,0.4,1,0.4,0.2,0.6,0.333,0.2,0.4,0.5,0.5,0.2,0.4,0.5,0,0.4,0.4,0.2,0.2,0,1.2,0.2,1.2
Yuki Kawamura,23,MEM,PG,20,0,3.2,0.4,1.1,0.364,0.2,0.8,0.25,0.2,0.3,0.667,0.455,0.2,0.3,0.667,0,0.4,0.4,0.7,0.1,0,0.2,0.4,1.2
Chris Livingston,21,MIL,SF,12,1,4.8,0.4,1.1,0.385,0,0.3,0,0.4,0.8,0.556,0.385,0.3,0.5,0.667,0.5,1.1,1.6,0.1,0.3,0,0.4,0.3,1.2
Colby Jones,22,SAC,SG,24,0,5.4,0.5,1.1,0.423,0.2,0.4,0.4,0.3,0.7,0.438,0.5,0,0,,0.3,0.6,1,0.3,0.3,0.3,0.3,0.5,1.1
Trey Alexander,21,DEN,SG,18,0,4.4,0.4,1.3,0.292,0.1,0.6,0.2,0.3,0.8,0.357,0.333,0.1,0.1,1,0,0.5,0.5,0.4,0.1,0.1,0.2,0.4,1
Isaiah Crawford,23,SAC,SF,5,0,3.6,0.4,0.8,0.5,0,0.2,0,0.4,0.6,0.667,0.5,0.2,0.4,0.5,0,1,1,0,0,0,0,0.2,1
PJ Hall,22,DEN,C,15,0,3.1,0.4,0.9,0.429,0,0.3,0,0.4,0.6,0.667,0.429,0.2,0.3,0.75,0.3,0.8,1.1,0.2,0,0.1,0.1,0.4,1
Emoni Bates,21,CLE,SF,7,0,3.9,0.3,2,0.143,0.3,1.6,0.182,0,0.4,0,0.214,0,0,,0,0,0,0.6,0.1,0,0,0.3,0.9
Joe Ingles,37,MIN,SF,16,0,6.4,0.4,1.2,0.316,0.2,0.8,0.25,0.2,0.4,0.429,0.395,0,0,,0.1,0.6,0.7,1.3,0.1,0,0.4,0.6,0.9
Xavier Tillman Sr.,26,BOS,C,27,1,7.3,0.4,1.5,0.244,0.1,0.9,0.174,0.2,0.7,0.333,0.293,0,0.1,0.5,0.3,1,1.3,0.3,0.3,0.2,0.3,0.6,0.9
Luke Travers,23,CLE,SG,9,0,6.1,0.3,1.2,0.273,0,0.4,0,0.3,0.8,0.429,0.273,0.2,0.2,1,0.6,0.8,1.3,0.6,0.1,0.1,0.6,0.4,0.9
Jaylen Martin,21,WAS,SF,4,0,1.8,0.3,1,0.25,0.3,0.3,1,0,0.8,0,0.375,0,0,,0.3,0.3,0.5,0,0,0,0,0.3,0.8
Jared Rhoden,25,TOR,SG,5,0,2.6,0.4,1.8,0.222,0,0.4,0,0.4,1.4,0.286,0.222,0,0,,0.4,0.4,0.8,0.4,0.2,0,0.2,0.2,0.8
Jalen Bridges,23,PHX,SF,5,0,5,0.2,0.8,0.25,0.2,0.8,0.25,0,0,,0.375,0.2,0.4,0.5,0,0.6,0.6,0,0,0,0.8,0,0.8
D.J. Carton,24,TOR,SG,4,0,8.3,0.3,1.8,0.143,0,0.8,0,0.3,1,0.25,0.143,0.3,0.3,1,0,1,1,0.8,0.5,0,1,0.3,0.8
Josh Christopher,23,MIA,SG,8,0,3.5,0.3,0.9,0.286,0,0.1,0,0.3,0.8,0.333,0.286,0.3,0.5,0.5,0,0.4,0.4,0.5,0,0.1,0.5,0.1,0.8
RayJ Dennis,23,IND,PG,6,0,1.8,0.2,0.5,0.333,0.2,0.5,0.333,0,0,,0.5,0.3,0.3,1,0.2,0.3,0.5,0.2,0.3,0,0.3,0.2,0.8
PJ Dozier,28,MIN,SG,9,0,3.9,0.2,0.3,0.667,0.2,0.3,0.667,0,0,,1,0.1,0.7,0.167,0.1,0.4,0.6,0.6,0.1,0,0.1,0.3,0.8
James Johnson,37,IND,PF,10,0,3.2,0.4,0.9,0.444,0,0.3,0,0.4,0.6,0.667,0.444,0,0.1,0,0,0.5,0.5,0.4,0,0.2,0.4,0.4,0.8
Maxwell Lewis,22,BKN,SF,10,0,3.4,0.3,0.8,0.375,0.1,0.1,1,0.2,0.7,0.286,0.438,0,0,,0.2,0.1,0.3,0.2,0.1,0,0.2,0.1,0.7
Ulrich CHAmche,19,TOR,PF,7,0,4.6,0.3,0.7,0.4,0,0,,0.3,0.7,0.4,0.4,0.1,0.3,0.5,0.6,0.6,1.1,0.3,0,0.1,0.3,0.7,0.7
Liam Robbins,25,MIL,C,13,0,4.4,0.2,0.6,0.25,0,0.2,0,0.2,0.5,0.333,0.25,0.4,0.8,0.5,0.5,0.4,0.9,0.2,0.2,0.2,0.5,0.7,0.7
Baylor Scheierman,24,BOS,SG,13,0,5.7,0.2,1.5,0.158,0.1,1.1,0.071,0.2,0.4,0.4,0.184,0.2,0.2,1,0.2,1.2,1.4,0.5,0.2,0,0.1,0.5,0.7
Cui Yongxi,21,BKN,SG,5,0,2,0.2,1.4,0.143,0,0.6,0,0.2,0.8,0.25,0.143,0.2,0.4,0.5,0,0.4,0.4,0,0,0,0,0,0.6
Garrett Temple,38,TOR,SG,17,0,3.9,0.2,0.9,0.2,0.1,0.4,0.143,0.1,0.5,0.25,0.233,0.2,0.2,1,0.1,0.5,0.6,0.6,0.4,0.1,0.2,0.4,0.6
Stanley Umude,25,MIL,SG,19,0,3.2,0.2,1.1,0.2,0.1,0.6,0.182,0.1,0.5,0.222,0.25,0.1,0.2,0.5,0.2,0.5,0.7,0.1,0.2,0.1,0.1,0.3,0.6
Spencer Jones,23,DEN,SF,11,0,2.7,0.2,0.8,0.222,0.1,0.5,0.167,0.1,0.3,0.333,0.278,0,0,,0.2,0.3,0.5,0,0.3,0,0.2,0.4,0.5
Tristen Newton,23,MIN,SG,8,0,2,0.1,1,0.125,0,0.4,0,0.1,0.6,0.2,0.125,0.1,0.1,1,0.3,0.3,0.5,0.3,0.1,0,0.3,0.5,0.4
Jacob Toppin,24,NYK,SF,16,0,3.1,0.2,0.6,0.3,0,0.1,0,0.2,0.5,0.375,0.3,0,0,,0.1,0.6,0.7,0.3,0.1,0,0.1,0.2,0.4
Malevy Leons,25,OKC,SF,6,0,3.5,0,0.3,0,0,0.2,0,0,0.2,0,0,0.3,0.7,0.5,0.2,0.3,0.5,0.2,0,0,0.2,0.7,0.3
Daishen Nix,22,MIN,PG,3,0,4.3,0,0.3,0,0,0.3,0,0,0,,0,0.3,0.7,0.5,0,1.3,1.3,1,0,0,1.3,0.3,0.3
Harrison Ingram,22,SAS,SF,2,0,5.5,0,1,0,0,0.5,0,0,0.5,0,0,0,0,,0,1,1,0,0,0,0,0.5,0
Daniss Jenkins,23,DET,PG,4,0,2,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,0,0,0,0.3,0.3,0
Bobi Klintman,21,DET,SF,3,0,2.7,0,0.7,0,0,0.3,0,0,0.3,0,0,0,0,,0,0.7,0.7,0.3,0,0,0,0.7,0
Mac McClung,26,ORL,SG,1,0,5,0,0,,0,0,,0,0,,,0,0,,0,1,1,2,0,0,0,0,0
Jalen McDaniels,27,WAS,SF,1,0,6,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,1,0,0,0,0
Justin Minaya,25,POR,SF,6,0,3,0,0.2,0,0,0,,0,0.2,0,0,0,0,,0.3,0.2,0.5,0.3,0.2,0,0,0.5,0
Riley Minix,24,SAS,SF,1,0,7,0,1,0,0,1,0,0,0,,0,0,0,,0,2,2,0,0,0,0,0,0
Jahlil Okafor,29,IND,C,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,0,0,0,0
Chuma Okeke,26,PHI,PF,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0
Zyon Pullin,23,MEM,SG,3,0,1,0,0.3,0,0,0,,0,0.3,0,0,0,0,,0,0,0,0,0,0,0,0,0
Cole Swider,25,DET,SF,2,0,6.5,0,2.5,0,0,2.5,0,0,0,,0,0,0,,0,1,1,0.5,0,0,0,0.5,0
Lonnie Walker IV,26,PHI,SG,1,0,10,0,3,0,0,3,0,0,0,,0,0,0,,0,2,2,0,0,0,0,0,0
