player,team,age,lt_5_ft_fgm,lt_5_ft_fga,lt_5_ft_fgpct,5_9_ft_fgm,5_9_ft_fga,5_9_ft_fgpct,10_14_ft_fgm,10_14_ft_fga,10_14_ft_fgpct,15_19_ft_fgm,15_19_ft_fga,15_19_ft_fgpct,20_24_ft_fgm,20_24_ft_fga,20_24_ft_fgpct,25_29_ft_fgm,25_29_ft_fga,25_29_ft_fgpct
Harrison Ingram,SAS,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0
Haywood Highsmith,MIA,28,0.9,1.3,66.2,0.3,0.6,48.1,0.1,0.2,33.3,0.0,0.0,0.0,0.8,1.7,45.7,0.4,1.4,29.9
Herbert Jones,NOP,26,1.8,3.2,55.6,0.4,1.1,31.8,0.2,0.3,66.7,0.1,0.1,100,1.1,2.7,39.6,0.3,1.3,24.0
Hunter Tyson,DEN,24,0.3,0.5,55.6,0.0,0.0,0.0,0.0,0.1,50.0,0.0,0.1,25.0,0.1,0.6,23.8,0.3,0.7,38.5
Immanuel Quickley,TOR,25,1.0,2.1,48.6,0.8,1.9,40.6,0.5,1.3,40.9,0.4,0.7,58.3,0.4,1.4,25.0,2.1,4.6,44.3
Isaac Jones,SAC,24,1.3,1.7,74.4,0.2,0.5,50.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,33.3,0.0,0.0,0.0
Isaac Okoro,CLE,24,0.9,1.7,51.9,0.1,0.2,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.9,39.7,0.3,0.8,37.5
Isaiah Collier,UTA,20,1.5,2.6,57.4,0.5,1.1,46.0,0.2,0.5,36.0,0.1,0.3,21.4,0.3,0.9,32.5,0.3,1.4,21.9
Isaiah Crawford,SAC,23,0.3,0.3,100,0.0,0.0,0.0,0.3,0.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
Isaiah Hartenstein,OKC,26,2.6,4.0,64.5,1.3,2.3,56.8,0.9,1.8,50.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.0
Isaiah Jackson,IND,23,2.6,4.2,61.9,0.2,0.4,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isaiah Joe,OKC,25,0.6,0.8,77.5,0.1,0.2,54.5,0.1,0.3,25.0,0.1,0.3,38.5,0.8,1.8,47.7,1.6,4.3,36.3
Isaiah Stewart,DET,23,1.9,2.9,64.4,0.2,0.5,35.7,0.1,0.1,57.1,0.0,0.0,50.0,0.1,0.3,37.5,0.1,0.5,20.8
Isaiah Wong,CHA,24,0.6,1.4,40.7,0.3,0.8,37.5,0.5,1.1,42.9,0.1,0.3,20.0,0.1,0.4,28.6,0.6,1.3,46.2
Ivica Zubac,LAC,27,4.7,7.1,67.1,1.7,3.2,51.2,0.3,0.7,48.6,0.1,0.1,50.0,0.0,0.0,0.0,0.0,0.0,0.0
JD Davison,BOS,22,0.2,0.4,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,50.0
JT Thor,CLE,22,0.3,0.4,66.7,0.1,0.1,100,0.1,0.3,50.0,0.3,0.3,100,0.1,0.5,25.0,0.3,0.4,66.7
Ja Morant,MEM,25,3.4,5.9,56.9,1.5,3.3,44.6,0.6,1.5,39.2,0.1,0.3,44.4,0.6,1.9,31.8,0.9,2.7,31.9
Ja'Kobe Walter,TOR,20,1.0,1.9,51.4,0.4,0.9,48.5,0.3,0.5,58.8,0.1,0.3,27.3,0.4,1.4,30.2,0.6,1.8,33.8
Jabari Smith Jr.,HOU,21,1.4,2.3,62.0,0.2,0.6,36.4,0.6,1.1,48.7,0.1,0.5,27.8,0.6,1.6,39.3,1.1,3.2,35.2
Jabari Walker,POR,22,1.1,1.7,64.1,0.0,0.2,14.3,0.0,0.1,50.0,0.0,0.1,25.0,0.2,0.6,36.4,0.1,0.4,17.6
Jack McVeigh,HOU,28,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.3,50.0,0.3,0.8,33.3,0.2,0.8,20.0
Jackson Rowe,GSW,28,0.5,0.8,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.3,40.0,0.0,0.8,0.0
Jacob Toppin,NYK,24,0.1,0.5,28.6,0.0,0.0,0.0,0.1,0.1,100,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0
Jaden Hardy,DAL,22,1.0,1.7,57.7,0.2,0.7,35.7,0.4,0.9,47.1,0.1,0.4,18.8,0.7,1.4,45.6,0.6,1.9,32.5
Jaden Ivey,DET,23,2.9,5.0,57.3,0.7,1.7,41.2,0.4,1.2,33.3,0.3,0.7,38.1,0.5,1.5,33.3,1.6,3.4,45.6
Jaden McDaniels,MIN,24,2.1,3.3,64.9,0.4,1.2,37.3,0.5,1.0,51.8,0.2,0.4,47.6,0.9,2.7,32.3,0.4,1.2,36.4
Jaden Springer,UTA,22,0.3,0.4,60.0,0.0,0.1,0.0,0.0,0.1,33.3,0.0,0.0,0.0,0.2,0.6,27.3,0.2,0.3,50.0
Jae Crowder,SAC,34,0.1,0.1,100,0.0,0.3,0.0,0.2,0.2,100,0.0,0.0,0.0,0.6,1.3,44.4,0.0,0.6,0.0
Jae'Sean Tate,HOU,29,0.9,1.6,60.7,0.2,0.5,35.0,0.0,0.1,25.0,0.0,0.0,0.0,0.3,0.6,40.9,0.0,0.2,0.0
Jaime Jaquez Jr.,MIA,24,2.0,3.6,55.1,0.6,1.6,40.3,0.1,0.3,28.6,0.0,0.1,25.0,0.4,1.3,29.3,0.2,0.7,32.3
Jake LaRavia,SAC,23,1.3,2.1,60.2,0.2,0.7,30.6,0.1,0.2,30.0,0.0,0.0,50.0,0.3,0.9,36.2,0.5,1.0,50.0
Jakob Poeltl,TOR,29,4.1,5.9,68.5,1.3,2.6,50.4,0.7,1.4,52.5,0.1,0.2,50.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalen Bridges,PHX,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,50.0,0.0,0.4,0.0
Jalen Brunson,NYK,28,2.5,4.1,60.3,1.9,3.7,51.0,1.4,2.6,53.1,0.9,2.0,45.9,0.6,1.8,35.1,1.7,4.2,41.9
Jalen Duren,DET,21,4.2,5.9,72.3,0.3,0.7,45.9,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0
Jalen Green,HOU,23,3.3,5.2,63.0,0.5,1.5,33.3,0.3,0.8,31.8,0.5,1.6,32.2,0.8,2.3,33.3,2.3,6.4,36.2
Jalen Hood-Schifino,LAL,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0
Jalen Johnson,ATL,23,4.8,6.9,69.1,1.0,2.6,39.8,0.3,1.2,25.6,0.1,0.4,38.5,0.6,1.8,31.3,0.7,2.2,33.3
Jalen Pickett,DEN,25,0.4,0.5,69.2,0.1,0.1,50.0,0.2,0.6,25.0,0.2,0.3,50.0,0.3,0.8,33.3,0.5,1.0,47.8
Jalen Smith,CHI,24,1.4,2.2,66.4,0.3,0.4,65.0,0.0,0.1,40.0,0.0,0.1,33.3,0.3,1.0,34.0,0.9,2.5,34.6
Jalen Suggs,ORL,23,1.9,2.8,67.3,0.6,1.4,40.8,0.6,1.5,37.0,0.4,0.9,39.4,0.7,1.7,41.0,1.5,4.9,31.0
Jalen Williams,OKC,23,3.1,5.0,61.4,1.1,2.4,44.8,1.4,2.8,50.0,0.7,1.5,47.5,0.4,1.3,28.8,1.4,3.8,37.4
Jalen Wilson,BKN,24,1.4,2.4,60.5,0.2,0.9,25.5,0.1,0.2,36.4,0.0,0.1,40.0,0.6,1.9,32.4,0.8,2.5,30.8
Jamal Cain,NOP,25,0.5,0.7,76.9,0.3,0.5,50.0,0.0,0.2,0.0,0.1,0.1,50.0,0.3,1.3,25.9,0.2,0.5,33.3
Jamal Murray,DEN,27,2.4,3.9,62.6,0.8,1.6,47.4,1.0,2.1,46.1,1.3,2.7,47.3,1.0,2.2,43.6,1.6,4.2,37.7
Jamal Shead,TOR,22,0.7,1.3,52.2,0.4,0.9,46.5,0.4,0.7,48.6,0.1,0.2,33.3,0.3,0.8,38.5,0.5,1.5,34.2
James Harden,LAC,35,1.6,2.9,53.9,0.8,2.2,35.7,0.8,2.0,41.2,0.4,0.7,52.8,0.3,1.2,29.5,2.4,6.9,35.1
James Johnson,IND,38,0.3,0.3,100,0.0,0.0,0.0,0.1,0.1,100,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.3,0.0
James Wiseman,IND,23,0.0,0.0,0.0,2.0,2.0,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Jamison Battle,TOR,23,0.3,0.6,52.2,0.1,0.2,83.3,0.1,0.2,55.6,0.0,0.1,50.0,0.7,1.7,40.3,0.7,1.6,45.0
Jarace Walker,IND,21,0.8,1.3,60.0,0.3,0.5,51.9,0.2,0.3,61.5,0.1,0.2,33.3,0.3,0.9,37.2,0.6,1.6,36.3
Jared Butler,PHI,24,1.4,2.1,67.6,0.5,1.5,35.3,0.2,0.5,35.3,0.2,0.3,50.0,0.1,0.3,40.0,0.4,1.1,31.7
Jared McCain,PHI,21,1.9,3.3,55.8,0.5,1.1,48.0,0.5,1.0,47.8,0.4,0.7,53.3,0.7,1.9,39.5,1.5,3.9,39.3
Jared Rhoden,TOR,25,0.3,1.0,33.3,1.0,1.0,100,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.0
Jaren Jackson Jr.,MEM,25,2.4,3.8,63.6,2.9,5.5,51.9,1.0,1.9,50.0,0.0,0.1,33.3,0.6,1.7,35.9,1.3,3.4,38.0
Jarred Vanderbilt,LAL,25,1.1,2.0,55.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,25.0,0.0,0.0,0.0
Jarrett Allen,CLE,26,4.3,5.7,75.2,1.1,1.6,67.0,0.2,0.4,41.7,0.0,0.1,25.0,0.0,0.1,0.0,0.0,0.0,0.0
Javonte Green,NOP,31,1.1,1.8,61.1,0.1,0.3,35.3,0.0,0.1,14.3,0.0,0.0,0.0,0.5,1.4,36.2,0.3,0.8,32.5
Jaxson Hayes,LAL,24,2.3,3.0,76.0,0.1,0.3,36.4,0.0,0.1,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jay Huff,MEM,27,1.1,1.3,81.0,0.1,0.1,66.7,0.0,0.1,33.3,0.0,0.1,0.0,0.5,1.3,38.2,1.0,2.2,43.0
Jaylen Brown,BOS,28,3.8,6.2,61.5,1.0,2.4,43.4,1.0,2.1,47.0,0.6,1.5,40.8,0.7,1.7,39.5,1.3,4.2,31.3
Jaylen Clark,MIN,23,0.7,1.6,43.5,0.2,0.4,50.0,0.1,0.1,50.0,0.0,0.1,0.0,0.5,1.4,36.8,0.1,0.3,50.0
Jaylen Nowell,NOP,25,0.9,1.6,53.8,0.6,2.3,27.8,0.8,1.4,54.5,0.0,0.4,0.0,0.5,1.4,36.4,0.5,2.1,23.5
