id,player,Age,Pos,Games,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,salary_rank,salary_2024_25,salary_2025_26,salary_2026_27,salary_2027_28,salary_2028_29,salary_2029_30,salary_guaranteed,salary_years,age,lt_5_ft_fgm,lt_5_ft_fga,lt_5_ft_fgpct,5_9_ft_fgm,fga_5_9_ft,5_9_ft_fgpct,10_14_ft_fgm,fga_10_14_ft,10_14_ft_fgpct,15_19_ft_fgm,fga_15_19_ft,15_19_ft_fgpct,20_24_ft_fgm,fga_20_24_ft,20_24_ft_fgpct,25_29_ft_fgm,fga_25_29_ft,25_29_ft_fgpct,team
524,Walker Kessler,23.0,C,44.0,44.0,30.5,4.8,6.7,0.72,0.0,0.1,0.333,4.8,6.6,0.728,0.723,1.4,2.7,0.538,4.6,7.5,12.1,1.6,0.6,2.4,1.5,2.3,11.2,310.0,2965920.0,4878938.0,,,,,7844858.0,2.0,23.0,4.5,6.0,75.0,0.3,0.5,47.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,66.7,0.0,0.0,0.0,UTA
525,Wendell Carter Jr.,25.0,C,46.0,29.0,25.3,3.2,7.0,0.463,0.4,2.2,0.202,2.8,4.8,0.579,0.494,2.0,2.8,0.711,2.0,5.4,7.4,2.2,0.8,0.5,1.1,2.8,8.8,141.0,11950000.0,10850000.0,18102000.0,19550160.0,20998320.0,,60452160.0,5.0,25.0,2.0,2.8,70.1,0.2,0.6,37.9,0.2,0.6,44.0,0.3,0.7,38.7,0.2,0.9,17.9,0.3,1.4,21.0,ORL
526,Wendell Moore Jr.,23.0,SG,22.0,1.0,11.5,1.2,2.9,0.422,0.2,0.7,0.267,1.0,2.2,0.469,0.453,0.6,0.7,0.867,0.6,1.5,2.1,1.0,0.5,0.1,0.5,0.8,3.2,330.0,2537040.0,,,,,,2537040.0,1.0,23.0,0.7,1.3,54.2,0.2,0.4,57.1,0.1,0.2,25.0,0.1,0.2,33.3,0.2,0.6,27.3,0.1,0.3,20.0,CHA
527,Xavier Tillman Sr.,26.0,C,27.0,1.0,7.3,0.4,1.5,0.244,0.1,0.9,0.174,0.2,0.7,0.333,0.293,0.0,0.1,0.5,0.3,1.0,1.3,0.3,0.3,0.2,0.3,0.6,0.9,344.0,2237691.0,2546675.0,,,,,4784366.0,2.0,26.0,0.2,0.4,54.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,10.0,0.1,0.5,23.1,BOS
528,Yuki Kawamura,23.0,PG,20.0,0.0,3.2,0.4,1.1,0.364,0.2,0.8,0.25,0.2,0.3,0.667,0.455,0.2,0.3,0.667,0.0,0.4,0.4,0.7,0.1,0.0,0.2,0.4,1.2,,,,,,,,,,23.0,0.1,0.1,50.0,0.0,0.0,0.0,0.1,0.2,50.0,0.3,0.3,100.0,0.0,0.1,0.0,0.2,0.8,28.6,MEM
529,Yves Missi,20.0,C,54.0,48.0,26.9,3.4,6.4,0.533,0.0,0.0,0.0,3.4,6.4,0.535,0.533,1.6,2.5,0.64,3.5,4.7,8.2,1.4,0.5,1.5,1.2,2.2,8.4,297.0,3193200.0,3353040.0,3512760.0,5595827.0,,,6546240.0,4.0,20.0,3.2,5.6,56.9,0.2,0.7,33.3,0.0,0.1,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOP
530,Zaccharie Risacher,19.0,SF,50.0,48.0,23.9,4.3,10.0,0.429,1.4,4.2,0.333,2.9,5.8,0.498,0.499,1.6,2.2,0.725,1.3,2.3,3.6,1.3,0.8,0.5,1.0,1.9,11.6,134.0,12569040.0,13197720.0,13826040.0,17434637.0,,,25766760.0,4.0,19.0,2.3,4.1,56.8,0.4,1.0,39.2,0.1,0.4,31.8,0.0,0.1,33.3,0.9,2.4,35.8,0.5,2.0,27.1,ATL
531,Zach Collins,27.0,PF,39.0,4.0,12.1,1.7,3.7,0.455,0.4,1.4,0.283,1.3,2.4,0.554,0.507,0.9,1.0,0.897,1.1,1.9,3.0,1.4,0.4,0.4,0.6,1.9,4.7,103.0,16741200.0,18080496.0,,,,,34821696.0,2.0,27.0,1.0,1.7,57.8,0.2,0.5,47.1,0.0,0.1,33.3,0.0,0.0,0.0,0.2,0.5,31.6,0.3,0.9,30.3,CHI
532,Zach Edey,22.0,C,43.0,36.0,20.5,3.7,6.5,0.573,0.3,1.0,0.349,3.4,5.5,0.613,0.6,1.3,1.9,0.675,3.3,4.4,7.7,0.9,0.6,1.2,1.4,2.6,9.1,230.0,5756880.0,6045000.0,6332760.0,8067937.0,,,11801880.0,4.0,22.0,2.9,4.1,71.3,0.4,1.2,34.6,0.1,0.2,33.3,0.0,0.0,0.0,0.2,0.5,31.8,0.2,0.5,40.9,MEM
533,Zach LaVine,29.0,SF,49.0,49.0,34.5,8.4,16.8,0.5,3.1,7.3,0.419,5.3,9.5,0.562,0.591,3.6,4.4,0.818,0.3,4.3,4.6,4.5,0.9,0.2,2.9,1.6,23.4,15.0,44531940.0,47499660.0,48967380.0,,,,92031600.0,3.0,29.0,3.8,5.7,66.7,0.3,0.6,44.8,0.3,0.8,41.5,0.6,1.4,39.4,1.3,2.8,46.0,2.0,5.0,39.8,SAC
534,Zeke Nnaji,24.0,PF,36.0,2.0,8.6,1.1,2.2,0.494,0.2,0.8,0.214,0.9,1.4,0.647,0.532,0.3,0.4,0.6,0.4,1.1,1.4,0.3,0.3,0.4,0.2,0.9,2.6,181.0,8888889.0,8177778.0,7466667.0,7466667.0,,,24533334.0,4.0,24.0,0.9,1.3,73.8,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.2,0.6,33.3,0.0,0.3,0.0,DEN
535,Ziaire Williams,23.0,SF,42.0,25.0,23.9,3.1,7.9,0.398,1.3,4.1,0.318,1.8,3.8,0.484,0.48,1.8,2.2,0.826,1.1,3.8,4.9,1.5,1.0,0.4,1.0,2.5,9.4,223.0,6133005.0,,,,,,6133005.0,1.0,23.0,1.7,3.0,54.4,0.1,0.4,25.0,0.1,0.2,33.3,0.0,0.1,0.0,0.6,2.1,26.4,0.7,1.9,38.0,BKN
536,Zion Williamson,24.0,PF,20.0,20.0,28.2,9.4,17.0,0.552,0.2,0.6,0.25,9.2,16.4,0.563,0.556,5.7,8.8,0.646,2.7,4.8,7.5,4.8,1.4,1.0,3.0,2.9,24.5,28.0,36725670.0,39446090.0,42166510.0,44886930.0,,,163225200.0,4.0,24.0,6.4,10.1,63.9,2.5,5.2,48.0,0.4,0.9,38.9,0.0,0.1,0.0,0.0,0.2,0.0,0.2,0.4,42.9,NOP
