id,player,Age,Pos,Games,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,salary_rank,salary_2024_25,salary_2025_26,salary_2026_27,salary_2027_28,salary_2028_29,salary_2029_30,salary_guaranteed,salary_years,age,lt_5_ft_fgm,lt_5_ft_fga,lt_5_ft_fgpct,5_9_ft_fgm,fga_5_9_ft,5_9_ft_fgpct,10_14_ft_fgm,fga_10_14_ft,10_14_ft_fgpct,15_19_ft_fgm,fga_15_19_ft,15_19_ft_fgpct,20_24_ft_fgm,fga_20_24_ft,20_24_ft_fgpct,25_29_ft_fgm,fga_25_29_ft,25_29_ft_fgpct,team
21,Andre Jackson Jr.,23.0,SG,53.0,43.0,16.8,1.5,3.3,0.469,0.5,1.3,0.386,1.0,2.0,0.524,0.546,0.2,0.3,0.556,1.1,2.0,3.1,1.4,0.6,0.2,1.0,2.0,3.8,424.0,1891857.0,2221677.0,2406205.0,,,,1891857.0,3.0,23.0,0.9,1.4,63.9,0.1,0.4,15.8,0.1,0.2,40.0,0.0,0.1,50.0,0.3,0.8,37.2,0.2,0.5,44.0,MIL
22,Andrew Nembhard,25.0,SG,39.0,39.0,28.4,3.9,8.4,0.466,0.7,2.4,0.312,3.2,6.0,0.528,0.511,1.9,2.5,0.792,0.5,2.8,3.3,4.8,1.3,0.1,1.7,2.4,10.5,404.0,2019699.0,18102000.0,19550160.0,20998320.0,,,60670179.0,4.0,25.0,1.6,2.2,73.5,0.4,0.9,42.9,0.6,1.6,40.7,0.4,1.1,35.9,0.4,1.2,36.4,0.4,1.3,31.3,IND
23,Andrew Wiggins,29.0,SF,47.0,47.0,30.7,6.0,13.9,0.436,2.1,5.8,0.368,3.9,8.1,0.485,0.513,3.3,4.3,0.776,1.6,3.1,4.7,2.4,1.0,0.8,1.4,1.7,17.5,60.0,26276786.0,28223215.0,30169644.0,,,,54500001.0,3.0,29.0,2.3,4.0,56.8,1.1,2.3,47.2,0.2,0.5,36.0,0.2,0.9,26.8,0.8,1.8,43.2,1.5,4.2,34.7,MIA
24,Anfernee Simons,25.0,SG,53.0,53.0,32.2,6.5,15.4,0.424,3.0,8.1,0.372,3.5,7.3,0.482,0.522,2.5,2.8,0.89,0.3,2.4,2.7,5.0,0.8,0.1,2.1,1.8,18.5,61.0,25892857.0,27678571.0,,,,,53571428.0,2.0,25.0,1.7,3.1,55.3,0.7,1.7,40.4,0.5,1.4,36.5,0.5,0.9,56.5,0.9,1.9,44.6,2.1,5.7,36.9,POR
25,Anthony Black,21.0,PG,55.0,9.0,24.6,3.3,7.7,0.423,0.7,2.4,0.3,2.6,5.4,0.476,0.468,2.1,2.8,0.752,0.6,2.1,2.7,3.3,1.0,0.5,1.8,2.2,9.3,203.0,7607760.0,7970280.0,10106316.0,,,,15578040.0,3.0,21.0,1.8,3.1,56.2,0.5,1.2,40.3,0.1,0.5,26.9,0.1,0.4,23.8,0.4,1.1,35.5,0.3,1.2,26.2,ORL
26,Anthony Davis,31.0,PF,43.0,43.0,34.2,9.5,18.0,0.528,0.7,2.2,0.313,8.8,15.8,0.559,0.548,6.0,7.6,0.786,2.9,9.1,12.0,3.4,1.3,2.2,2.2,1.9,25.7,17.0,43219440.0,54126450.0,58456566.0,62786682.0,,,155802456.0,4.0,31.0,5.3,7.5,70.6,1.6,3.5,44.4,0.7,2.0,36.8,1.0,2.2,46.3,0.3,1.0,29.5,0.6,1.8,34.2,DAL
27,Anthony Edwards,23.0,SG,56.0,56.0,36.8,9.2,21.0,0.438,4.2,10.3,0.409,5.0,10.8,0.465,0.537,5.1,6.0,0.84,0.8,5.1,5.9,4.5,1.2,0.6,3.5,1.9,27.7,21.0,42176400.0,45550512.0,48924624.0,52298736.0,55672848.0,,244623120.0,5.0,23.0,3.0,5.1,58.3,0.8,1.9,41.9,0.5,1.7,29.3,0.5,1.4,37.7,1.8,4.4,40.2,2.6,6.3,41.3,MIN
28,Anthony Gill,32.0,PF,38.0,0.0,5.7,0.6,1.2,0.511,0.2,0.4,0.375,0.4,0.8,0.586,0.578,0.4,0.7,0.607,0.2,0.7,0.8,0.2,0.2,0.1,0.2,0.5,1.8,345.0,2237691.0,2546675.0,,,,,2237691.0,2.0,32.0,0.3,0.4,64.3,0.3,0.5,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,30.0,0.1,0.2,33.3,WAS
29,Antonio Reeves,24.0,SG,26.0,0.0,10.0,1.5,3.8,0.404,0.6,2.0,0.308,0.9,1.8,0.511,0.485,0.3,0.3,0.875,0.3,0.7,1.1,0.7,0.3,0.0,0.3,0.4,4.0,447.0,1157153.0,1955377.0,2296271.0,,,,1157153.0,3.0,22.0,0.7,1.2,58.6,0.2,0.5,36.4,0.0,0.1,50.0,0.0,0.1,50.0,0.2,1.1,22.2,0.4,1.0,38.5,NOP
30,Ariel Hukporti,22.0,C,24.0,0.0,8.4,0.7,1.1,0.654,0.0,0.0,,0.7,1.1,0.654,0.654,0.3,0.5,0.462,0.5,1.5,2.0,0.5,0.0,0.6,0.8,1.2,1.7,450.0,1064049.0,1955377.0,,,,,1064049.0,2.0,22.0,0.5,0.8,72.2,0.1,0.3,40.0,0.1,0.1,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYK
31,Armel Traoré,22.0,SF,9.0,0.0,7.4,0.7,2.1,0.316,0.0,0.8,0.0,0.7,1.3,0.5,0.316,0.2,0.8,0.286,0.2,1.4,1.7,0.1,0.4,0.2,0.3,0.7,1.6,22.0,0.7,1.2,54.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.0,,,,,,,,,,LAL
32,Ausar Thompson,22.0,SF,35.0,24.0,20.9,3.9,7.2,0.55,0.2,0.9,0.219,3.7,6.3,0.598,0.564,1.3,2.3,0.588,1.7,3.3,5.0,2.2,1.7,0.4,1.4,2.8,9.4,188.0,8376000.0,8775000.0,11117925.0,,,,17151000.0,3.0,22.0,3.4,4.9,67.9,0.2,0.9,23.3,0.1,0.3,20.0,0.0,0.1,33.3,0.1,0.5,16.7,0.1,0.4,30.8,DET
33,Austin Reaves,26.0,SG,50.0,50.0,34.7,6.2,13.9,0.446,2.6,7.1,0.36,3.7,6.8,0.537,0.538,4.2,4.9,0.865,0.8,3.5,4.3,6.1,1.2,0.3,2.5,2.0,19.2,124.0,12976362.0,13937574.0,14898786.0,,,,26913936.0,3.0,26.0,2.0,3.0,67.1,0.9,2.0,45.5,0.5,1.3,41.3,0.2,0.5,42.3,0.6,1.3,47.6,1.9,5.5,34.6,LAL
34,Ayo Dosunmu,25.0,SG,45.0,26.0,30.5,4.8,9.8,0.491,1.4,4.2,0.332,3.4,5.6,0.609,0.561,1.4,1.7,0.792,0.6,2.9,3.5,4.6,0.9,0.4,1.5,2.3,12.3,210.0,7000000.0,7518518.0,,,,,14518518.0,2.0,25.0,2.8,4.3,65.1,0.5,1.1,50.0,0.1,0.2,36.4,0.0,0.0,0.0,0.7,2.2,33.7,0.7,2.0,33.3,CHI
35,Bam Adebayo,27.0,C,53.0,53.0,34.1,6.6,13.8,0.477,0.8,2.6,0.307,5.8,11.2,0.517,0.506,3.0,4.1,0.733,2.6,7.5,10.1,4.4,1.2,0.8,2.2,2.2,16.9,40.0,34848340.0,37096620.0,48713700.0,52610796.0,56507892.0,,173269456.0,5.0,27.0,2.7,3.9,69.2,1.3,3.3,39.0,1.3,2.9,43.6,0.5,1.0,51.9,0.3,1.0,33.3,0.4,1.6,26.2,MIA
36,Baylor Scheierman,24.0,SG,13.0,0.0,5.7,0.2,1.5,0.158,0.1,1.1,0.071,0.2,0.4,0.4,0.184,0.2,0.2,1.0,0.2,1.2,1.4,0.5,0.2,0.0,0.1,0.5,0.7,334.0,2494320.0,2619000.0,2744040.0,4952993.0,,,10191353.0,4.0,24.0,0.1,0.3,33.3,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,100.0,0.0,0.6,0.0,0.0,0.6,0.0,BOS
37,Ben Sheppard,23.0,SG,41.0,8.0,20.2,2.1,5.0,0.426,1.2,3.4,0.364,0.9,1.6,0.563,0.551,0.4,0.5,0.9,0.6,1.9,2.5,1.2,0.7,0.3,0.3,2.1,5.9,321.0,2663880.0,2790720.0,5031669.0,,,,5454600.0,3.0,23.0,0.8,1.2,63.8,0.0,0.2,14.3,0.1,0.2,42.9,0.0,0.0,100.0,0.9,2.5,36.4,0.4,1.0,37.5,IND
38,Ben Simmons,28.0,PG,36.0,24.0,24.9,2.9,5.1,0.557,0.0,0.0,,2.9,5.1,0.557,0.557,0.7,0.9,0.727,0.9,4.3,5.2,6.8,0.9,0.5,2.5,2.4,6.4,27.0,40011909.0,,,,,,39256083.0,1.0,28.0,1.9,3.0,63.5,0.9,1.9,49.2,0.1,0.2,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAC
39,Bennedict Mathurin,22.0,SF,53.0,44.0,31.2,5.8,12.1,0.477,1.5,4.1,0.353,4.3,8.0,0.541,0.537,3.4,4.1,0.822,1.2,4.3,5.5,1.9,0.6,0.4,1.8,2.4,16.4,207.0,7245720.0,9187573.0,,,,,16433293.0,2.0,22.0,3.2,4.9,65.0,0.6,1.4,42.7,0.3,0.7,38.9,0.2,0.6,37.9,0.5,1.6,29.8,1.1,2.9,37.3,IND
40,Bilal Coulibaly,20.0,SF,52.0,52.0,33.4,4.4,10.6,0.416,1.1,3.9,0.274,3.3,6.7,0.497,0.466,2.4,3.2,0.758,1.5,3.5,5.0,3.6,1.3,0.7,2.1,2.4,12.3,211.0,6945240.0,7275600.0,9240012.0,,,,14220840.0,3.0,20.0,2.4,3.5,68.5,0.4,1.5,29.7,0.3,0.9,30.4,0.2,0.8,25.6,0.4,1.2,31.7,0.7,2.7,27.0,WAS
41,Bismack Biyombo,32.0,C,4.0,3.0,14.8,2.3,3.0,0.75,0.0,0.0,,2.3,3.0,0.75,0.75,0.5,1.8,0.286,0.8,3.0,3.8,0.8,0.8,1.3,1.0,1.8,5.0,,,,,,,,,,32.0,2.5,3.0,83.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SAS
42,Blake Wesley,21.0,SG,34.0,0.0,8.6,1.1,2.5,0.464,0.1,0.7,0.217,1.0,1.8,0.557,0.494,0.5,0.7,0.739,0.2,0.5,0.7,1.8,0.4,0.1,0.8,0.5,2.9,323.0,2624280.0,4726328.0,,,,,7350608.0,2.0,21.0,1.0,1.6,64.0,0.0,0.2,20.0,0.0,0.1,0.0,0.0,0.1,33.3,0.1,0.3,20.0,0.1,0.4,21.4,SAS
43,Bobby Portis,29.0,PF,46.0,7.0,25.2,5.6,12.1,0.463,1.3,3.6,0.364,4.3,8.5,0.505,0.517,1.2,1.5,0.821,1.8,6.5,8.3,2.2,0.7,0.5,1.2,1.9,13.7,133.0,12578286.0,13445754.0,,,,,12578286.0,2.0,30.0,1.8,2.9,63.2,0.9,1.9,47.7,0.7,1.6,40.5,0.7,1.5,42.3,0.7,1.7,39.2,0.9,2.4,36.4,MIL
44,Bobi Klintman,21.0,SF,3.0,0.0,2.7,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,,0.0,0.7,0.7,0.3,0.0,0.0,0.0,0.7,0.0,440.0,1257153.0,1955377.0,2296271.0,2486995.0,,,3212530.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,DET
45,Bogdan Bogdanović,32.0,SG,28.0,0.0,24.6,3.5,9.3,0.375,1.8,6.0,0.302,1.7,3.3,0.511,0.473,1.2,1.4,0.846,0.5,2.1,2.6,2.1,1.0,0.2,1.4,2.3,10.0,100.0,17260000.0,16020000.0,16020000.0,,,,33280000.0,3.0,32.0,0.9,1.7,55.6,0.2,0.5,42.9,0.2,0.5,35.7,0.1,0.1,100.0,0.9,2.7,31.5,1.2,3.6,33.3,LAC
46,Bol Bol,25.0,PF,21.0,2.0,11.2,2.4,4.8,0.495,0.7,2.4,0.294,1.7,2.4,0.7,0.569,0.5,0.8,0.688,0.6,2.1,2.8,0.4,0.2,0.8,0.6,0.4,6.0,377.0,2087519.0,,,,,,2087519.0,1.0,25.0,0.4,0.7,61.5,0.5,0.6,90.0,0.3,0.6,54.5,0.4,0.6,70.0,0.3,1.4,24.0,0.5,1.4,36.0,PHX
47,Bones Hyland,24.0,PG,20.0,0.0,11.1,2.3,5.8,0.391,1.6,4.0,0.388,0.7,1.8,0.4,0.526,1.2,1.3,0.885,0.3,1.0,1.2,1.4,0.9,0.2,1.2,1.3,7.2,268.0,4158439.0,,,,,,4158439.0,1.0,24.0,0.5,0.9,55.6,0.0,0.1,0.0,0.0,0.3,0.0,0.2,0.5,44.4,0.4,0.7,50.0,1.2,3.2,37.5,LAC
48,Bradley Beal,31.0,SG,40.0,25.0,32.8,6.8,13.5,0.506,2.0,5.0,0.399,4.9,8.5,0.569,0.58,2.3,2.8,0.813,0.8,2.9,3.6,3.5,1.1,0.6,2.0,2.7,17.9,5.0,50203930.0,53666270.0,57128610.0,,,,103870200.0,3.0,31.0,2.2,3.3,67.2,0.9,1.6,55.9,0.8,1.7,50.8,0.6,1.4,40.4,1.2,2.8,41.9,1.0,2.6,37.8,PHX
49,Branden Carlson,25.0,C,19.0,0.0,5.6,1.0,2.1,0.487,0.7,1.6,0.452,0.3,0.4,0.625,0.667,0.1,0.1,1.0,0.3,1.1,1.4,0.3,0.1,0.3,0.2,0.6,2.8,473.0,496519.0,,,,,,496519.0,1.0,25.0,0.2,0.2,100.0,0.1,0.3,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,30.8,0.6,1.0,55.6,OKC
50,Brandin Podziemski,21.0,SG,44.0,13.0,25.5,3.8,8.8,0.432,1.4,4.2,0.323,2.5,4.6,0.532,0.509,1.1,1.5,0.742,1.0,3.8,4.8,3.5,1.1,0.2,1.1,1.5,10.1,284.0,3519960.0,3687960.0,5679459.0,,,,7207920.0,3.0,21.0,1.2,2.0,59.5,0.5,1.0,50.0,0.5,1.0,53.7,0.2,0.5,43.5,0.4,1.1,34.0,1.0,3.0,31.8,GSW
51,Brandon Boston Jr.,23.0,SG,42.0,10.0,23.6,4.0,9.1,0.436,1.2,3.3,0.35,2.8,5.7,0.485,0.5,1.6,2.0,0.788,0.7,2.5,3.2,2.2,1.3,0.2,1.2,1.7,10.7,23.0,1.6,2.6,59.5,0.1,0.5,25.0,0.4,1.1,35.6,0.6,1.2,52.1,0.5,1.5,30.6,0.8,2.2,37.6,,,,,,,,,,NOP
52,Brandon Clarke,28.0,PF,53.0,18.0,18.8,3.5,5.8,0.609,0.0,0.3,0.059,3.5,5.5,0.641,0.611,0.8,1.2,0.672,1.9,3.1,5.0,1.0,0.8,0.5,0.6,2.3,7.9,135.0,12500000.0,12500000.0,12500000.0,,,,37500000.0,3.0,28.0,2.6,3.2,80.8,0.6,1.5,42.1,0.3,0.8,39.0,0.0,0.0,0.0,0.0,0.3,6.7,0.0,0.0,0.0,MEM
53,Brandon Ingram,27.0,SF,18.0,18.0,33.1,8.6,18.5,0.465,2.4,6.4,0.374,6.2,12.1,0.514,0.53,2.6,3.1,0.855,0.9,4.6,5.6,5.2,0.9,0.6,3.8,2.5,22.2,33.0,36016200.0,38095238.0,40000000.0,41904762.0,,,114111438.0,4.0,27.0,2.2,3.1,70.9,0.6,1.9,31.4,1.7,3.2,54.4,1.5,3.5,42.9,0.7,1.7,38.7,1.9,5.1,38.5,TOR
54,Brandon Miller,22.0,SF,27.0,27.0,34.2,7.3,18.2,0.403,3.9,10.9,0.355,3.5,7.3,0.475,0.509,2.5,2.9,0.861,0.9,3.9,4.9,3.6,1.1,0.7,2.8,2.7,21.0,145.0,11424600.0,11968800.0,15104626.0,,,,23393400.0,3.0,22.0,1.8,2.7,66.7,0.9,2.3,39.3,0.6,1.5,42.5,0.2,0.9,21.7,0.6,1.8,31.3,3.1,8.4,37.3,CHA
55,Brandon Williams,25.0,PG,20.0,0.0,8.6,1.3,2.8,0.446,0.5,1.2,0.435,0.8,1.7,0.455,0.536,0.8,1.0,0.789,0.1,0.7,0.8,1.2,0.3,0.1,0.7,0.6,3.8,,,,,,,,,,25.0,0.6,1.3,47.8,0.1,0.3,40.0,0.1,0.1,100.0,0.1,0.1,100.0,0.2,0.6,30.0,0.4,0.7,50.0,DAL
56,Brice Sensabaugh,21.0,SF,45.0,2.0,17.4,3.2,7.3,0.441,1.6,4.4,0.369,1.6,2.9,0.55,0.552,0.9,1.0,0.907,0.6,1.9,2.5,1.3,0.6,0.1,1.3,1.4,8.9,326.0,2571480.0,2693760.0,4862237.0,,,,5265240.0,3.0,21.0,0.6,0.9,71.8,0.5,1.0,55.8,0.3,0.8,42.4,0.1,0.1,60.0,0.8,2.0,40.9,0.8,2.4,32.7,UTA
57,Bronny James,20.0,SG,17.0,0.0,4.2,0.4,1.6,0.25,0.2,0.8,0.231,0.2,0.9,0.267,0.304,0.4,0.5,0.667,0.1,0.4,0.4,0.5,0.2,0.1,0.3,0.4,1.4,444.0,1157153.0,1955377.0,2296271.0,2486995.0,,,3112530.0,4.0,20.0,0.1,0.3,40.0,0.0,0.3,0.0,0.2,0.4,50.0,0.0,0.3,0.0,0.1,0.4,20.0,0.1,0.5,25.0,LAL
58,Brook Lopez,36.0,C,55.0,55.0,31.7,4.7,9.7,0.481,1.9,5.1,0.373,2.8,4.6,0.601,0.579,1.3,1.6,0.826,1.3,3.6,4.8,1.7,0.7,2.0,1.0,2.1,12.5,74.0,23000000.0,,,,,,23000000.0,1.0,36.0,1.8,2.5,71.3,0.5,0.9,53.1,0.4,0.9,40.4,0.1,0.3,40.0,0.3,0.7,48.6,1.5,4.1,36.5,MIL
59,Bruce Brown,28.0,PG,22.0,0.0,19.7,2.9,7.0,0.406,0.5,1.9,0.262,2.4,5.1,0.46,0.442,1.4,1.6,0.886,0.9,2.7,3.6,1.4,0.8,0.1,0.9,1.7,7.6,73.0,23000000.0,,,,,,23000000.0,1.0,28.0,1.5,2.7,57.1,0.4,1.2,34.6,0.4,1.1,34.8,0.0,0.1,50.0,0.5,1.2,38.5,0.1,0.8,12.5,NOP
60,Bruno Fernando,26.0,C,17.0,2.0,8.6,1.5,2.9,0.531,0.0,0.0,,1.5,2.9,0.531,0.531,0.4,0.5,0.75,1.2,1.8,3.0,1.1,0.2,0.5,0.8,1.6,3.4,449.0,1115128.0,,,,,,1115128.0,1.0,26.0,1.4,2.1,63.9,0.2,0.6,33.3,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOR
61,Bryce McGowens,22.0,SG,8.0,0.0,2.6,0.5,0.9,0.571,0.0,0.3,0.0,0.5,0.6,0.8,0.571,0.6,0.8,0.833,0.1,0.0,0.1,0.1,0.1,0.0,0.4,0.3,1.6,,,,,,,,,,22.0,0.3,0.4,66.7,0.2,0.2,100.0,0.2,0.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,POR
62,Bub Carrington,19.0,PG,56.0,39.0,29.4,3.4,8.2,0.411,1.6,4.6,0.347,1.8,3.6,0.493,0.509,0.8,0.9,0.843,0.4,3.6,4.0,3.9,0.7,0.2,1.5,2.3,9.1,261.0,4454880.0,4677600.0,4900560.0,7257730.0,,,9132480.0,4.0,19.0,0.6,1.1,51.6,0.2,0.5,33.3,0.4,0.8,57.1,0.4,0.8,45.5,0.6,1.5,39.8,1.1,3.3,34.3,WAS
63,Buddy Hield,32.0,SG,57.0,22.0,23.5,4.2,10.1,0.412,2.5,6.9,0.368,1.6,3.2,0.508,0.538,0.7,0.8,0.826,0.5,2.8,3.3,1.6,0.9,0.3,1.2,1.8,11.5,183.0,8780488.0,9219512.0,9658536.0,10097560.0,,,27658536.0,4.0,32.0,1.1,1.8,61.4,0.2,0.6,36.4,0.2,0.3,52.9,0.1,0.4,30.0,0.9,2.4,37.1,1.7,4.7,37.0,GSW
64,CJ McCollum,33.0,PG,43.0,43.0,33.3,8.3,18.3,0.452,3.1,8.2,0.379,5.2,10.1,0.513,0.537,2.5,3.4,0.721,0.7,3.1,3.8,3.8,0.7,0.5,1.8,2.3,22.1,45.0,33333333.0,30666666.0,,,,,63999999.0,2.0,33.0,2.5,4.2,59.9,1.2,2.3,50.5,1.0,2.3,42.7,0.5,1.1,43.5,1.0,2.7,38.1,2.2,5.8,37.9,NOP
65,Cade Cunningham,23.0,PG,52.0,52.0,35.5,9.6,20.8,0.461,2.3,6.4,0.363,7.3,14.5,0.504,0.516,4.2,4.9,0.85,0.8,5.4,6.3,9.5,1.0,0.8,4.4,2.6,25.7,118.0,13940809.0,38661750.0,41754690.0,44847630.0,47940570.0,51033510.0,238178959.0,6.0,23.0,3.6,6.5,55.7,1.9,4.2,46.5,1.1,2.3,48.7,0.5,1.4,39.1,0.5,1.1,39.7,1.8,5.1,35.7,DET
66,Caleb Houstan,22.0,SF,38.0,5.0,11.7,0.9,2.8,0.33,0.8,2.4,0.326,0.1,0.4,0.357,0.472,0.3,0.3,0.909,0.3,0.7,1.0,0.4,0.2,0.1,0.1,1.0,2.9,407.0,2019699.0,2187699.0,,,,,2019699.0,2.0,22.0,0.0,0.1,20.0,0.0,0.1,33.3,0.1,0.1,50.0,0.0,0.0,100.0,0.3,1.2,27.3,0.5,1.3,35.4,ORL
67,Caleb Martin,29.0,SF,31.0,24.0,30.4,3.3,7.5,0.435,1.1,2.8,0.379,2.2,4.7,0.469,0.506,1.5,2.4,0.622,1.4,3.0,4.4,2.2,1.1,0.6,1.4,2.0,9.1,176.0,9186594.0,9594044.0,10001493.0,9371351.0,,,28782131.0,4.0,29.0,1.2,2.1,55.4,0.3,0.7,40.9,0.4,0.7,55.0,0.1,0.5,25.0,1.0,2.1,46.2,0.4,1.4,26.2,DAL
68,Cam Christie,19.0,SG,6.0,0.0,5.2,0.7,2.0,0.333,0.3,1.3,0.25,0.3,0.7,0.5,0.417,0.2,0.3,0.5,0.2,0.8,1.0,0.3,0.3,0.0,0.3,0.3,1.8,445.0,1157153.0,1955377.0,2296271.0,2486995.0,,,3112530.0,4.0,19.0,0.3,0.5,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.3,1.0,33.3,LAC
69,Cam Reddish,25.0,SF,31.0,8.0,18.1,1.2,2.8,0.43,0.4,1.5,0.289,0.8,1.3,0.585,0.506,0.5,0.8,0.615,0.5,1.5,2.0,0.7,1.0,0.3,0.4,1.4,3.3,338.0,2463946.0,,,,,,2463946.0,1.0,25.0,0.7,1.1,66.7,0.1,0.2,40.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.9,35.7,0.1,0.6,16.7,LAL
70,Cam Spencer,24.0,SG,10.0,0.0,12.1,1.3,3.0,0.433,0.5,1.6,0.313,0.8,1.4,0.571,0.517,0.9,0.9,1.0,0.5,1.2,1.7,1.6,0.3,0.1,0.5,1.1,4.0,,,,,,,,,,24.0,0.4,0.6,66.7,0.3,0.4,75.0,0.1,0.3,33.3,0.0,0.1,0.0,0.3,0.7,42.9,0.2,1.0,22.2,MEM
71,Cam Thomas,23.0,SG,19.0,17.0,32.3,7.9,17.7,0.448,2.8,7.6,0.375,5.1,10.2,0.503,0.528,5.9,6.8,0.876,0.5,3.1,3.6,3.4,0.7,0.1,2.7,1.9,24.7,271.0,4041249.0,,,,,,4041249.0,1.0,23.0,1.8,3.5,52.2,0.9,1.9,48.6,1.2,2.4,50.0,1.1,1.8,58.8,0.7,2.6,26.5,2.2,5.2,41.4,BKN
72,Cam Whitmore,20.0,SF,37.0,0.0,17.3,3.5,8.5,0.413,1.2,4.0,0.311,2.3,4.5,0.503,0.486,1.1,1.5,0.719,0.7,2.5,3.2,0.9,0.7,0.2,1.0,1.1,9.4,289.0,3379080.0,3539760.0,5458310.0,,,,6918840.0,3.0,20.0,1.7,2.9,58.7,0.3,1.0,27.8,0.1,0.2,50.0,0.1,0.3,45.5,0.6,1.5,42.3,0.8,2.9,27.2,HOU
73,Cameron Johnson,28.0,PF,41.0,41.0,31.9,6.4,13.1,0.487,3.0,7.5,0.406,3.3,5.6,0.596,0.604,3.4,3.8,0.896,0.8,3.3,4.1,2.9,0.8,0.5,1.6,1.8,19.1,77.0,22500000.0,20543478.0,22500000.0,,,,65543478.0,3.0,28.0,2.1,3.0,69.4,0.5,0.8,60.6,0.3,0.8,38.7,0.3,0.8,40.0,1.1,2.4,45.4,1.9,4.9,39.0,BKN
74,Cameron Payne,30.0,PG,51.0,1.0,14.6,2.5,6.1,0.419,1.4,3.6,0.373,1.2,2.5,0.488,0.531,0.8,0.9,0.891,0.2,1.2,1.4,2.7,0.5,0.2,0.6,1.6,7.3,384.0,2087519.0,,,,,,2087519.0,1.0,30.0,0.6,1.2,50.8,0.4,0.7,54.1,0.2,0.4,44.4,0.0,0.1,20.0,0.4,0.9,38.3,1.0,2.7,37.0,NYK
75,Caris LeVert,30.0,SG,43.0,3.0,24.1,3.7,8.2,0.456,1.6,4.0,0.394,2.2,4.2,0.514,0.551,1.6,2.3,0.687,0.6,2.5,3.1,3.5,0.8,0.5,1.2,1.5,10.6,104.0,16615384.0,,,,,,16615384.0,1.0,30.0,1.7,3.0,58.1,0.3,0.5,55.0,0.2,0.5,30.4,0.0,0.1,16.7,0.8,2.0,40.2,0.8,2.0,39.3,ATL
76,Cason Wallace,21.0,SG,48.0,32.0,27.1,3.0,6.7,0.446,1.0,3.0,0.336,2.0,3.8,0.533,0.52,0.3,0.4,0.789,1.1,2.3,3.4,2.4,1.7,0.5,0.7,2.2,7.3,233.0,5555880.0,5820240.0,7420806.0,,,,11376120.0,3.0,21.0,1.5,2.4,63.7,0.3,0.8,30.8,0.1,0.4,41.2,0.1,0.1,42.9,0.5,1.7,30.4,0.5,1.3,38.1,OKC
77,Charles Bassey,24.0,C,34.0,1.0,10.7,2.0,3.4,0.586,0.0,0.0,,2.0,3.4,0.586,0.586,0.6,1.0,0.636,1.6,2.8,4.4,0.5,0.4,0.9,0.7,1.4,4.6,373.0,2087519.0,2500000.0,,,,,2087519.0,2.0,24.0,1.9,2.9,64.4,0.2,0.6,43.8,0.1,0.3,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SAS
78,Chet Holmgren,22.0,C,15.0,15.0,26.5,5.3,10.6,0.503,1.4,3.5,0.396,3.9,7.1,0.557,0.569,3.3,4.3,0.754,1.7,6.4,8.1,1.7,0.9,2.9,2.1,2.0,15.3,155.0,10880640.0,13731368.0,,,,,24612008.0,2.0,22.0,2.9,4.4,66.1,0.3,1.2,23.5,0.4,1.1,37.5,0.2,0.3,75.0,0.5,1.1,43.8,0.8,2.4,33.3,OKC
79,Chris Boucher,32.0,PF,48.0,0.0,17.3,3.7,7.5,0.493,1.5,3.9,0.37,2.3,3.6,0.628,0.59,1.4,1.8,0.782,1.4,3.1,4.5,0.7,0.5,0.5,0.6,1.4,10.3,156.0,10810000.0,,,,,,10810000.0,1.0,32.0,1.8,2.6,68.6,0.2,0.4,38.9,0.2,0.4,47.1,0.1,0.2,62.5,0.7,1.9,38.9,0.6,2.0,32.6,TOR
